date,home_team,away_team,tournament,city,country,neutral,year,month,day,result,home_points,away_points,home_capital,away_capital,home_comb,away_comb,stadium_comb,home_lat,home_lon,away_lat,away_lon,stadium_lat,stadium_lon,home_stadium_distance_km,away_stadium_distance_km,home_fix_1,home_fix_2,home_shots_1,home_shots_2,home_shots_against_1,home_shots_against_2,home_scored_1,home_scored_2,home_conceded_1,home_conceded_2,home_relative_shots_1,home_relative_shots_2,home_relative_goals_1,home_relative_goals_2,away_fix_1,away_fix_2,away_shots_1,away_shots_2,away_shots_against_1,away_shots_against_2,away_scored_1,away_scored_2,away_conceded_1,away_conceded_2,away_relative_shots_1,away_relative_shots_2,away_relative_goals_1,away_relative_goals_2,home_ranking,away_ranking,home_temperature_max,home_temperature_min,home_precipitation,home_wind_speed,away_temperature_max,away_temperature_min,away_precipitation,away_wind_speed,stadium_temperature_max,stadium_temperature_min,stadium_precipitation,stadium_wind_speed,home_stadium_temp_max,home_stadium_temp_min,home_stadium_temp_avg,away_stadium_temp_max,away_stadium_temp_min,away_stadium_temp_avg
1994-06-27,Bolivia,Spain,FWC,Chicago,United States,True,1994,6,27,2,35.0,56.0,Sucre,Madrid,"Sucre, Bolivia","Madrid, Spain","Chicago, United States",-19.0477251,-65.2594306,40.416782,-3.703507,41.8755616,-87.6244212,7154.228639102133,6724.436927595643,7.445,6.755,21,6,14,13,0,0,0,1,0.6,0.3158,0.5,0.0,6.8,7.018,13,11,9,15,1,2,1,2,0.5909,0.4231,0.5,0.5,77,1,17.0,0.1,0.0,14.3,30.4,14.6,0.0,11.5,22.7,19.4,0.2,16.1,5.699999999999999,19.299999999999997,12.499999999999998,7.699999999999999,4.799999999999999,6.249999999999999
1994-06-27,Germany,South Korea,FWC,Dallas,United States,True,1994,6,27,1,60.0,38.0,Berlin,Seoul,"Berlin, Germany","Seoul, South Korea","Dallas, United States",52.5173885,13.3951309,37.5666791,126.9782914,32.7762719,-96.7968559,8378.04164985308,10974.270558501026,7.291,7.473,9,13,13,6,1,1,1,0,0.4091,0.6842,0.5,1.0,7.173,7.0,14,15,21,11,0,2,0,2,0.4,0.5769,0.5,0.5,12,32,27.8,16.2,0.0,10.8,27.0,19.3,0.0,12.2,38.3,26.7,0.0,32.3,10.499999999999996,10.5,10.499999999999998,11.299999999999997,7.399999999999999,9.349999999999998
1994-06-28,Russia,Cameroon,FWC,Palo Alto,United States,True,1994,6,28,1,50.0,46.0,Moscow,Yaoundé,"Moscow, Russia","Yaoundé, Cameroon","Palo Alto, United States",55.625578,37.6063916,3.8689867,11.5213344,37.4443293,-122.1598465,9489.540939006016,13388.060924799918,6.527,6.773,11,8,21,17,1,0,3,2,0.3438,0.32,0.25,0.0,6.555,6.991,5,10,10,16,0,2,3,2,0.3333,0.3846,0.0,0.5,35,43,19.6,14.7,0.3,26.2,26.3,19.9,9.8,11.0,25.4,14.0,0.0,11.0,5.799999999999997,0.6999999999999993,3.2499999999999982,0.9000000000000021,5.899999999999999,3.4000000000000004
1994-06-28,Italy,Mexico,FWC,"Washington, D.C.",United States,True,1994,6,28,0,57.0,51.0,Rome,Mexico City,"Rome, Italy","Mexico City, Mexico","Washington, D.C., United States",41.8933203,12.4829321,19.3207722,-99.1514678,38.8950982,-77.0363849,7216.999258035341,3041.788799513721,6.891,6.936,15,13,6,9,1,0,0,1,0.7143,0.5909,1.0,0.0,7.227,7.109,11,17,13,10,2,0,1,1,0.4583,0.6296,0.6667,0.0,15,10,25.1,19.2,0.3,12.2,21.0,10.2,13.7,7.7,30.5,20.3,0.0,14.3,5.399999999999999,1.1000000000000014,3.25,9.5,10.100000000000001,9.8
1994-06-28,Republic of Ireland,Norway,FWC,East Rutherford,United States,True,1994,6,28,0,53.0,56.0,Dublin,Oslo,"Dublin, Republic of Ireland","Oslo, Norway","East Rutherford, United States",53.3493795,-6.2605593,59.9133301,10.7389701,40.833989,-74.0970865,5112.149482805676,5908.5052861483755,6.691,7.109,13,9,11,13,1,1,2,0,0.5417,0.4091,0.3333,1.0,6.9,7.045,6,10,15,17,0,1,1,0,0.2857,0.3704,0.0,1.0,55,19,19.7,13.5,0.0,26.8,26.1,14.9,0.0,15.0,26.0,20.5,2.5,23.6,6.300000000000001,7.0,6.65,0.10000000000000142,5.6,2.8500000000000005
1994-06-28,Brazil,Sweden,FWC,Pontiac,United States,True,1994,6,28,0,59.0,55.0,Brasília,Stockholm,"Brasília, Brazil","Stockholm, Sweden","Pontiac, United States",-15.7939869,-47.8828,59.3251172,18.0710935,42.6389216,-83.2910468,7437.305556703418,6607.819035794877,7.582,7.409,10,17,5,8,3,2,0,0,0.6667,0.68,1.0,1.0,7.555,7.145,21,16,11,10,3,2,1,2,0.6562,0.6154,0.75,0.5,5,37,22.5,13.7,0.0,19.3,24.1,13.8,0.0,15.4,25.2,12.8,5.3,18.1,2.6999999999999993,0.8999999999999986,1.799999999999999,1.0999999999999979,1.0,1.049999999999999
1994-06-29,Morocco,Netherlands,FWC,Orlando,United States,True,1994,6,29,2,44.0,59.0,Rabat,Amsterdam,"Rabat, Morocco","Amsterdam, Netherlands","Orlando, United States",34.0218454,-6.8408929,52.3730796,4.8924534,28.5421218,-81.379045,6951.874587075628,7293.027184125438,7.045,7.027,28,20,11,11,1,0,2,1,0.7179,0.6452,0.3333,0.0,7.118,7.509,15,28,16,8,0,2,1,1,0.4839,0.7778,0.0,0.6667,6,9,29.9,19.2,0.0,13.7,22.0,14.9,1.6,22.9,31.9,23.3,4.7,8.7,2.0,4.100000000000001,3.0500000000000007,9.899999999999999,8.4,9.149999999999999
1994-06-29,Belgium,Saudi Arabia,FWC,"Washington, D.C.",United States,True,1994,6,29,2,44.0,40.0,Brussels,Riyadh,"Brussels, Belgium","Riyadh, Saudi Arabia","Washington, D.C., United States",50.8467372,4.352493,24.638916,46.7160104,38.8950982,-77.0363849,6216.968926134251,10846.386108749508,7.518,7.373,16,11,15,20,1,1,0,0,0.5161,0.3548,1.0,1.0,7.118,6.991,11,8,28,28,2,1,1,2,0.2821,0.2222,0.6667,0.3333,8,58,23.6,16.8,0.2,21.0,37.5,22.8,0.0,20.8,31.5,23.4,10.1,16.6,7.899999999999999,6.599999999999998,7.249999999999998,6.0,0.5999999999999979,3.299999999999999
1994-07-02,Germany,Belgium,FWC,Chicago,United States,True,1994,7,2,1,60.0,44.0,Berlin,Brussels,"Berlin, Germany","Brussels, Belgium","Chicago, United States",52.5173885,13.3951309,50.8467372,4.352493,41.8755616,-87.6244212,7082.9773460503775,6661.296790091495,7.173,7.291,14,9,19,13,3,1,2,1,0.4242,0.4091,0.6,0.5,7.155,7.518,19,16,13,15,0,1,1,0,0.5938,0.5161,0.0,1.0,12,8,26.0,11.8,0.0,10.9,30.3,18.0,1.6,11.9,23.8,17.4,2.1,27.4,2.1999999999999993,5.599999999999998,3.8999999999999986,6.5,0.6000000000000014,3.5500000000000007
1994-07-02,Spain,Switzerland,FWC,"Washington, D.C.",United States,True,1994,7,2,1,56.0,54.0,Madrid,Bern,"Madrid, Spain","Bern, Switzerland","Washington, D.C., United States",40.416782,-3.703507,46.9484742,7.4521749,38.8950982,-77.0363849,6088.715749472218,6598.929682468838,7.345,6.8,13,13,14,9,3,1,1,1,0.4815,0.5909,0.75,0.5,6.927,7.255,12,10,12,12,0,4,2,1,0.5,0.4545,0.0,0.8,1,14,36.7,23.2,0.0,20.7,28.6,14.7,0.0,6.3,31.3,19.7,0.0,11.9,5.400000000000002,3.5,4.450000000000001,2.6999999999999993,5.0,3.8499999999999996
