home_stadium_distance_km,away_stadium_distance_km,home_fix_1,home_fix_2,home_shots_1,home_shots_2,home_shots_against_1,home_shots_against_2,home_scored_1,home_scored_2,home_relative_shots_1,home_relative_shots_2,home_relative_goals_1,home_relative_goals_2,away_fix_1,away_fix_2,away_shots_1,away_shots_2,away_shots_against_1,away_shots_against_2,away_scored_2,away_relative_shots_1,away_relative_shots_2,away_relative_goals_1,away_relative_goals_2,home_ranking,away_ranking,home_precipitation,home_wind_speed,away_precipitation,away_wind_speed,stadium_precipitation,stadium_wind_speed,home_stadium_temp_avg,away_stadium_temp_avg,home_stadium_wind_speed,away_stadium_wind_speed,ranking_diff,stadium_temperature_avg,home_temperature_avg,away_temperature_avg,day_sin,day_cos,result
1.4269194820621314,0.8161544998559297,0.5430622009569362,0.5528089887640447,1.125,0.5714285714285714,-0.14285714285714285,0.42857142857142855,0.5,1.5,0.6291804483645719,0.0,0.5,-0.5,-0.2444987775061117,1.2224938875305602,-0.2857142857142857,0.5714285714285714,0.2857142857142857,1.25,2.0,-0.44905660377358475,-0.2982456140350876,-0.5,0.5,-0.34,0.3333333333333333,0.0,-0.7126436781609193,0.17647058823529413,1.1123595505617974,0.28571428571428575,-0.5,0.6341463414634148,0.9760000000000003,-0.1621621621621623,1.232876712328767,-0.75,0.8735632183908049,0.25274725274725246,-0.1961722488038278,-0.4853019625310808,-0.8743466161445822,2
1.5291721329412893,1.3300843415017218,0.37081339712918493,-0.4292134831460696,0.625,0.14285714285714285,-0.42857142857142855,-0.7142857142857143,-0.5,0.0,0.6512311650128629,0.5281867145421903,-0.5,-0.5,-0.04400977995109976,0.8655256723716369,-0.14285714285714285,0.14285714285714285,1.0,1.875,1.0,-0.6290566037735847,-0.6595059076262082,-0.5,1.0,-0.48,-0.5740740740740741,0.0,0.47126436781609204,0.0,0.19101123595505606,4.357142857142857,-0.5227272727272726,0.9837398373983738,0.03999999999999986,0.7972972972972973,0.136986301369863,0.125,0.7873563218390807,-0.06593406593406609,0.291866028708134,-0.651372482722222,-0.7587581226927911,1
1.855193043800874,1.5255418230645879,-1.1315789473684223,0.5528089887640447,-1.25,0.5714285714285714,1.8571428571428572,0.42857142857142855,-0.5,2.0,-1.7522969496508634,0.0,-0.5,0.5,0.37652811735941316,-1.0220048899755487,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6,0.16666666666666666,2.2142857142857144,1.103448275862069,0.0,0.7191011235955053,0.7142857142857143,0.26136363636363624,1.105691056910569,0.47199999999999964,0.6081081081081083,-0.1643835616438355,-0.8333333333333334,0.19540229885057506,-0.7142857142857147,1.0526315789473684,-0.8978045395707417,-0.44039415155763423,1
1.474810096412204,1.2665493057240684,1.1100478468899506,-0.36853932584269844,0.25,0.7142857142857143,-0.5714285714285714,-0.42857142857142855,0.0,-0.5,0.6089672914369719,0.5464991023339318,0.5,-1.0,0.1100244498777505,0.1784841075794606,0.14285714285714285,1.8571428571428572,0.5714285714285714,0.125,0.0,-0.290188679245283,0.5968492660221981,0.0,-0.5,-0.4,-0.6666666666666666,0.07142857142857144,-0.28735632183908044,0.0,-0.23595505617977539,1.2142857142857144,0.7159090909090907,0.9837398373983738,-0.04000000000000029,0.7837837837837835,0.36986301369863,0.3125,0.6149425287356324,-0.23076923076923114,0.5502392344497608,-0.8978045395707417,-0.44039415155763423,0
1.717521589789367,1.275417870204019,1.370813397129185,1.0629213483146078,0.0,1.5714285714285714,1.1428571428571428,0.5714285714285714,1.0,1.5,-0.5115766262403526,0.29910233393177754,1.0,-0.5,0.2665036674816627,-0.04400977995109966,1.5714285714285714,0.0,0.0,0.75,-0.5,0.5894339622641508,-0.38345864661654117,0.0,-1.0,0.4,-0.42592592592592593,0.0,-0.03448275862068953,0.0,-0.7191011235955055,0.0,-0.6136363636363636,-0.09756097560975617,-0.10400000000000022,0.3108108108108109,-0.6438356164383563,0.875,0.2701149425287358,0.33516483516483486,-0.05263157894736848,-0.9680771188662041,-0.2506525322587213,2
2.1304991877805897,3.1280422090506614,0.9569377990430605,0.12359550561797705,0.75,0.8571428571428571,-0.2857142857142857,-0.7142857142857143,0.5,-0.5,0.5935317897831682,0.8161579892280071,1.0,-0.5,0.04400977995109976,-0.6234718826405855,0.0,1.4285714285714286,0.7142857142857143,0.25,0.5,-0.43547169811320746,0.42105263157894746,0.0,-0.5,-0.54,0.1111111111111111,0.14285714285714288,-0.586206896551724,1.8823529411764708,-0.6404494382022472,0.0,0.011363636363636322,0.11382113821138197,0.1999999999999999,0.2972972972972972,0.013698630136986252,-0.7083333333333334,-0.25862068965517243,0.30219780219780185,0.5119617224880384,-0.9884683243281114,0.15142777750457667,1
0.23984206445238504,1.2145732234000353,0.2392344497607646,0.2044943820224706,0.75,0.0,0.0,0.14285714285714285,-0.5,0.0,0.40830576993752327,-0.16337522441651703,-0.5,-1.5,0.33251833740831344,-0.2665036674816621,-0.14285714285714285,-0.42857142857142855,0.2857142857142857,0.25,-0.5,-0.3430188679245281,-0.4260651629072681,0.5,-0.5,-0.44,0.3333333333333333,7.928571428571429,-0.9885057471264366,0.35294117647058826,1.0224719101123592,0.0,0.4545454545454547,1.5365853658536581,1.24,1.2972972972972974,-0.02739726027397299,-0.8541666666666666,1.0632183908045978,-0.17582417582417598,-0.1961722488038278,-0.9884683243281114,0.15142777750457667,1
1.5291721329412893,1.425385807884893,0.870813397129186,0.34831460674157205,0.0,0.8571428571428571,1.4285714285714286,-0.5714285714285714,0.0,-0.5,-0.6016170525542078,0.7026929982046679,0.5,-0.5,1.3105134474327647,0.7995110024449863,2.5714285714285716,1.2857142857142858,-0.42857142857142855,1.0,2.5,1.0483018867924527,0.04582885785893316,0.5,-0.5,-0.48,-0.5185185185185185,1.7857142857142858,0.08045977011494243,0.8823529411764706,0.5168539325842693,0.0,0.3295454545454546,0.8536585365853653,0.7439999999999996,-0.10810810810810796,-0.493150684931507,0.0625,1.1609195402298853,0.37912087912087866,0.18181818181818166,-0.9377521321470804,0.3473052528448203,1
1.7874998462689897,1.8308348747775165,-0.6315789473684214,0.10337078651685266,0.625,1.1428571428571428,-0.2857142857142857,0.2857142857142857,-0.5,-0.5,0.5446527012127894,0.28940754039497313,-1.5,-1.0,-1.2224938875305629,0.35452322738386144,-0.2857142857142857,0.2857142857142857,1.1428571428571428,0.25,-0.5,-0.7686792452830187,0.0,-2.0,0.0,1.06,0.16666666666666666,0.0,-0.8160919540229884,0.0,0.7977528089887637,6.857142857142858,0.6022727272727271,0.2520325203252032,-0.05600000000000024,1.27027027027027,-0.4794520547945205,0.8958333333333334,0.18390804597701169,0.29120879120879106,0.7272727272727273,-0.848644257494751,0.5289640103269624,1
2.040469523341726,1.0867796149132933,0.588516746411482,0.16404494382022383,-0.125,1.5714285714285714,0.2857142857142857,0.0,1.5,0.0,-0.23520764424843787,0.5608617594254938,1.5,0.0,0.44498777506112586,-0.44498777506112486,0.7142857142857143,1.0,0.2857142857142857,0.0,0.0,0.13471698113207525,0.43215180809165776,-0.5,-1.0,-0.36,-0.48148148148148145,0.35714285714285715,-0.8620689655172413,0.11764705882352942,0.0,0.0,-0.15909090909090912,0.203252032520325,0.10399999999999979,0.41891891891891886,-0.5342465753424656,0.14583333333333334,0.08620689655172414,0.09890109890109874,-0.33014354066985635,-0.848644257494751,0.5289640103269624,2
1.4923747076664122,1.2665493057240684,1.0430622009569372,-0.5707865168539343,1.25,-0.5714285714285714,0.5714285714285714,0.2857142857142857,-0.5,-0.5,0.2995222344726204,-0.6614003590664272,0.0,-0.5,-0.42298288508557486,0.08801955990219933,0.42857142857142855,0.0,-0.2857142857142857,0.5,0.5,0.3430188679245281,-0.2753311851056212,0.0,0.0,0.9,-0.6666666666666666,0.0,-0.16091954022988486,0.0,-0.4831460674157303,0.14285714285714288,0.05681818181818202,1.5691056910569101,0.2079999999999997,-0.1486486486486486,-0.12328767123287651,1.6666666666666667,0.218390804597701,-1.0054945054945057,0.4545454545454545,-0.72479278722912,0.6889669190756865,2
1.7940646681007952,2.453746414619789,0.6746411483253587,1.0426966292134834,-0.25,0.42857142857142855,0.42857142857142855,-0.7142857142857143,0.0,0.0,-0.4020580668871736,0.6614003590664275,0.0,0.5,0.4889975550122256,0.04400977995109966,0.5714285714285714,0.5714285714285714,1.4285714285714286,0.0,0.5,-0.37735849056603754,0.27533118510562105,0.0,0.0,-0.4,-0.09259259259259259,0.0,-0.5632183908045975,0.0,-0.40449438202247195,0.0,1.897727272727272,1.2439024390243896,0.7039999999999996,2.5135135135135127,1.9999999999999996,-0.3333333333333333,1.53448275862069,0.47252747252747224,0.5167464114832534,-0.72479278722912,0.6889669190756865,1
2.0680674557992464,3.1280422090506614,-1.15311004784689,-0.5303370786516876,0.0,-0.2857142857142857,1.5714285714285714,0.8571428571428571,0.0,-0.5,-0.6420433664094082,-0.6463195691202873,-1.0,-1.0,-1.022004889975551,0.022004889975548746,-0.7142857142857143,-0.14285714285714285,-0.14285714285714285,0.625,0.5,-0.6290566037735847,-0.4131757966344432,-1.5,0.0,0.06,0.1111111111111111,0.2142857142857143,1.2068965517241377,5.764705882352942,-0.5393258426966292,0.0,-0.5227272727272726,0.06504065040650367,-0.24800000000000014,1.6621621621621618,-0.7534246575342465,-0.08333333333333333,0.06321839080459779,-0.06043956043956091,0.5119617224880384,-0.5712682150947924,0.8207634412072763,1
